,Squad,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Arsenal,19094,22558,84.6,309533,102210,62,55.3,57.8,6.7,513,1546,548,68,2106
1,Aston Villa,16133,19363,83.3,281128,95293,55,48.6,42.5,6.4,398,1160,363,67,1451
2,Bournemouth,11899,15920,74.7,220978,83235,39,40.5,33.7,-1.5,414,1074,352,88,1314
3,Brentford,12551,16818,74.6,225971,88492,38,42.7,40.0,-4.7,332,965,333,106,1283
4,Brighton,21810,25029,87.1,341060,113686,36,41.6,43.7,-5.6,429,1484,384,81,1780
5,Burnley,13937,17959,77.6,246047,83556,30,29.7,26.6,0.3,326,976,216,54,1181
6,Chelsea,20039,23364,85.8,328448,109853,51,51.4,43.1,-0.4,419,1351,352,51,1615
7,Crystal Palace,12915,16754,77.1,225542,84922,43,38.7,31.5,4.3,353,995,273,60,1176
8,Everton,11349,15514,73.2,208537,88374,17,38.1,31.8,-21.1,339,958,284,77,1129
9,Fulham,16311,20237,80.6,290238,100538,40,37.6,33.6,2.4,379,1117,355,94,1467
10,Liverpool,20376,24379,83.6,346550,118702,60,63.7,55.6,-3.7,598,1666,506,80,2110
11,Luton Town,11048,15099,73.2,201475,81352,33,29.5,27.5,3.5,315,835,250,90,1113
12,Manchester City,24616,27758,88.7,394064,112270,69,60.2,62.1,8.8,545,1890,484,65,2060
13,Manchester Utd,15785,19538,80.8,260507,91226,36,40.1,34.6,-4.1,434,1202,338,50,1479
14,Newcastle Utd,16117,19852,81.2,274265,96401,55,51.3,43.5,3.7,424,1107,380,76,1557
15,Nott'ham Forest,11873,15673,75.8,209938,83047,43,38.0,27.9,5.0,325,905,244,61,1140
16,Sheffield Utd,9521,13498,70.5,169803,71320,18,25.8,21.0,-7.8,257,701,198,48,884
17,Tottenham,20649,24197,85.3,326221,111380,58,57.4,52.1,0.6,460,1588,454,65,2107
18,West Ham,12568,16373,76.8,219336,85575,40,34.8,30.8,5.2,305,979,225,71,1207
19,Wolves,15484,19175,80.8,255933,84649,36,31.8,27.6,4.2,316,910,239,61,1180
