,Squad,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Atalanta,72,539,197,36.5,14.2,5.2,0.1,0.3,16.0,6,5,5,57.8,53.9,0.1,14.2,13.1
1,Bologna,52,472,159,33.7,12.4,4.2,0.1,0.3,18.0,19,4,5,47.9,44.0,0.1,4.1,4.0
2,Cagliari,41,442,127,28.7,11.6,3.3,0.1,0.3,17.6,15,4,6,42.9,38.4,0.1,-1.9,-1.4
3,Empoli,26,413,112,27.1,10.9,3.0,0.0,0.2,18.9,22,5,5,36.2,32.4,0.1,-10.2,-11.4
4,Fiorentina,60,515,171,33.2,13.6,4.5,0.1,0.3,17.5,13,4,8,51.7,45.4,0.1,8.3,10.6
5,Frosinone,44,460,147,32.0,12.1,3.9,0.1,0.2,19.2,18,8,10,45.8,37.9,0.1,-1.8,-1.9
6,Genoa,43,397,119,30.0,10.4,3.1,0.1,0.3,17.4,21,5,6,35.7,31.0,0.1,7.3,7.0
7,Hellas Verona,38,435,146,33.6,11.4,3.8,0.1,0.2,18.9,13,3,7,38.0,32.4,0.1,0.0,2.6
8,Inter,87,580,196,33.8,15.3,5.2,0.1,0.4,16.8,19,13,14,78.2,67.4,0.1,8.8,6.6
9,Juventus,52,531,146,27.5,14.0,3.8,0.1,0.3,16.9,19,3,5,54.6,50.6,0.1,-2.6,-1.6
10,Lazio,46,436,135,31.0,11.5,3.6,0.1,0.3,18.0,15,4,4,46.5,43.4,0.1,-0.5,-1.4
11,Lecce,30,503,147,29.2,13.2,3.9,0.0,0.2,18.8,11,3,5,43.1,39.2,0.1,-13.1,-12.2
12,Milan,76,554,202,36.5,14.6,5.3,0.1,0.4,16.8,9,6,8,66.2,60.0,0.1,9.8,10.0
13,Monza,38,451,123,27.3,11.9,3.2,0.1,0.3,17.8,15,4,5,39.5,35.9,0.1,-1.5,-1.9
14,Napoli,54,638,196,30.7,16.8,5.2,0.1,0.2,17.6,18,6,10,61.4,53.3,0.1,-7.4,-5.3
15,Roma,64,464,142,30.6,12.2,3.7,0.1,0.4,17.9,16,11,12,51.4,42.3,0.1,12.6,10.7
16,Salernitana,32,398,118,29.6,10.5,3.1,0.1,0.2,19.1,11,2,2,30.3,28.7,0.1,1.7,1.3
17,Sassuolo,42,453,144,31.8,11.9,3.8,0.1,0.2,19.2,18,7,8,39.8,33.8,0.1,2.2,1.2
18,Torino,35,432,121,28.0,11.4,3.2,0.1,0.3,17.1,15,2,2,37.7,36.1,0.1,-2.7,-3.1
19,Udinese,36,457,134,29.3,12.0,3.5,0.1,0.2,18.8,21,3,4,39.1,36.8,0.1,-3.1,-3.8
