,Squad,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,América (MG),43.0,19684,2157,6159,8824,4983,767,19678,752,361,48.0,315,41.9,10717,63521,33084,638,475,131,570,305,11376,1368
1,Ath Paranaense,48.5,21081,2178,6475,9972,4850,764,21077,673,344,51.1,267,39.7,11383,59033,29355,592,447,124,538,314,13041,1350
2,Atlético Mineiro,52.7,23506,2370,6974,11511,5279,642,23500,745,386,51.8,285,38.3,13672,73437,39054,669,552,146,577,362,15371,1387
3,Bahia,49.6,21858,2132,6538,10216,5355,748,21854,742,362,48.8,316,42.6,12253,67016,35897,688,539,121,575,305,13734,1494
4,Botafogo (RJ),48.1,21771,2064,6292,10671,5045,710,21764,798,387,48.5,324,40.6,12252,68829,34571,658,488,147,564,314,13796,1423
5,Corinthians,48.8,23228,2624,7681,10961,4801,621,23221,727,319,43.9,316,43.5,13334,66409,34274,649,461,121,535,237,15367,1366
6,Coritiba,43.9,19990,2496,7102,8900,4249,556,19981,809,393,48.6,326,40.3,10787,58728,29667,551,416,109,595,326,11717,1134
7,Cruzeiro,51.4,22260,2126,6452,10305,5733,682,22257,749,375,50.1,304,40.6,12539,68424,36621,636,490,131,583,291,14213,1636
8,Cuiabá,43.7,20078,2121,6179,9388,4728,595,20070,637,337,52.9,218,34.2,10754,58930,31423,577,451,112,583,293,12350,1349
9,Flamengo,57.4,25693,2159,6779,12312,6844,890,25684,815,409,50.2,327,40.1,15900,82041,43380,713,619,153,540,343,18086,1939
10,Fluminense,61.5,26737,2826,8645,11787,6537,779,26732,932,486,52.1,349,37.4,17303,87480,49595,847,603,167,547,357,19379,1615
11,Fortaleza,46.6,20510,1819,5635,10148,4982,761,20503,733,375,51.2,283,38.6,11470,66783,35390,695,482,162,475,308,12601,1444
12,Goiás,44.6,20123,2519,6843,8790,4692,667,20118,678,327,48.2,284,41.9,10517,56439,30656,523,431,103,574,351,12036,1275
13,Grêmio,46.7,21562,2132,5891,9976,5907,781,21555,736,359,48.8,313,42.5,11563,57745,29595,541,473,140,574,317,13197,1529
14,Internacional,51.6,23225,2098,6573,11777,5083,698,23221,710,363,51.1,274,38.6,13428,70277,36320,618,505,131,542,294,15431,1375
15,Palmeiras,52.7,22082,2045,6482,10284,5556,803,22078,752,391,52.0,280,37.2,12846,71906,38686,788,563,174,527,283,14426,1583
16,Red Bull Bragantino,56.5,23580,1927,5931,10693,7202,870,23577,878,436,49.7,357,40.7,13242,71527,37053,721,614,166,655,380,14466,1752
17,Santos,44.4,19772,2018,6241,9013,4780,701,19766,842,392,46.6,352,41.8,10768,63461,32663,709,514,155,532,338,11634,1222
18,São Paulo,59.5,25509,2379,7557,12451,5732,766,25500,883,467,52.9,332,37.6,15476,78721,40197,694,541,138,506,360,18077,1655
19,Vasco da Gama,48.8,21555,2262,6854,9975,5010,722,21551,792,393,49.6,331,41.8,12358,68451,35588,664,514,119,541,284,13606,1345
