,Squad,# Pl,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90
0,Atalanta,3,42,6,0,4,1,39.8,0.2,-1.2,-0.0
1,Bologna,3,32,3,2,3,1,32.1,0.2,1.1,0.0
2,Cagliari,3,68,4,3,10,3,56.2,0.3,-8.8,-0.2
3,Empoli,3,54,6,0,10,1,48.9,0.2,-4.1,-0.1
4,Fiorentina,3,46,8,3,5,0,46.2,0.3,0.2,0.0
5,Frosinone,2,69,5,0,11,2,53.4,0.3,-13.6,-0.4
6,Genoa,3,45,3,1,4,1,41.6,0.3,-2.4,-0.1
7,Hellas Verona,2,51,2,0,6,1,43.5,0.3,-6.5,-0.2
8,Inter,3,22,2,0,3,0,29.2,0.2,7.2,0.2
9,Juventus,3,31,2,0,4,2,30.1,0.2,1.1,0.0
10,Lazio,2,39,2,0,3,0,38.3,0.2,-0.7,-0.0
11,Lecce,1,54,5,1,7,1,53.2,0.3,0.2,0.0
12,Milan,4,49,8,2,4,1,42.7,0.2,-5.3,-0.1
13,Monza,2,51,7,1,6,0,59.8,0.3,8.8,0.2
14,Napoli,3,48,2,1,6,0,46.1,0.3,-1.9,-0.0
15,Roma,2,46,3,0,5,3,43.6,0.3,0.6,0.0
16,Salernitana,3,81,10,0,9,2,68.1,0.3,-10.9,-0.3
17,Sassuolo,2,75,8,2,8,4,56.9,0.3,-14.1,-0.4
18,Torino,2,36,7,0,4,0,37.3,0.2,1.3,0.0
19,Udinese,2,53,9,2,5,1,49.6,0.3,-2.4,-0.1
