,Squad,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
0,América (MG),888,23.37,664,77,47,46,41,13,74,1.95,56,5,3,6,3,1
1,Ath Paranaense,968,25.47,673,102,61,55,55,22,94,2.47,77,4,1,5,6,1
2,Atlético Mineiro,833,21.92,604,51,56,45,65,12,88,2.32,67,2,5,4,9,1
3,Bahia,933,24.55,651,91,67,71,41,12,79,2.08,46,4,8,14,5,2
4,Botafogo (RJ),923,24.29,647,88,71,56,48,13,100,2.63,61,11,10,10,7,1
5,Corinthians,801,21.08,572,82,50,44,39,14,76,2.0,52,5,4,8,6,1
6,Coritiba,732,19.26,505,71,47,39,58,12,68,1.79,43,7,5,6,7,0
7,Cruzeiro,936,24.63,674,93,61,49,50,9,60,1.58,45,3,7,2,2,1
8,Cuiabá,781,20.55,525,89,47,47,56,17,63,1.66,39,6,3,5,9,1
9,Flamengo,905,23.82,687,52,63,53,40,10,102,2.68,66,6,13,4,13,0
10,Fluminense,990,26.05,745,63,76,55,38,13,90,2.37,62,4,10,10,4,0
11,Fortaleza,947,24.92,683,75,52,59,55,23,73,1.92,52,2,6,5,5,3
12,Goiás,850,22.37,553,118,45,58,62,14,61,1.61,35,9,3,6,8,0
13,Grêmio,904,23.79,624,100,65,58,43,14,107,2.82,75,9,6,8,5,4
14,Internacional,816,21.47,610,53,37,58,43,15,80,2.11,61,3,2,7,4,3
15,Palmeiras,1079,28.39,754,114,70,60,61,20,106,2.79,65,10,8,13,9,1
16,Red Bull Bragantino,1098,28.89,802,82,66,81,53,14,80,2.11,51,4,7,13,4,1
17,Santos,821,21.61,519,118,52,59,57,16,63,1.66,37,7,2,9,8,0
18,São Paulo,920,24.21,658,71,72,59,45,15,64,1.68,39,4,6,10,4,1
19,Vasco da Gama,836,22.0,612,66,52,43,56,7,69,1.82,43,4,9,6,7,0
