,Squad,# Pl,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%
0,Alavés,2,46,1.21,147,103,74.1,12,10,16,11,28.9
1,Almería,3,75,1.97,202,126,65.8,3,12,23,6,15.8
2,Athletic Club,2,37,0.97,134,98,73.1,19,11,8,18,47.4
3,Atlético Madrid,1,43,1.13,144,101,70.8,24,4,10,13,34.2
4,Barcelona,2,44,1.16,141,97,70.2,26,7,5,17,44.7
5,Betis,3,45,1.18,158,115,75.9,14,15,9,13,34.2
6,Cádiz,2,55,1.45,175,121,69.7,6,15,17,10,26.3
7,Celta Vigo,2,57,1.5,164,109,68.9,10,11,17,6,15.8
8,Getafe,2,54,1.42,173,118,71.7,10,13,15,10,26.3
9,Girona,1,46,1.21,168,121,75.6,25,6,7,12,31.6
10,Granada,4,79,2.08,203,126,63.5,4,9,25,3,7.9
11,Las Palmas,2,47,1.24,156,109,73.1,10,10,18,8,21.1
12,Mallorca,3,44,1.16,148,104,73.0,8,16,14,10,26.3
13,Osasuna,2,56,1.47,152,95,63.8,12,9,17,10,26.3
14,Rayo Vallecano,2,48,1.26,151,104,68.9,8,14,16,13,34.2
15,Real Madrid,3,26,0.68,118,93,78.8,29,8,1,21,55.3
16,Real Sociedad,2,39,1.03,135,96,75.6,16,12,10,15,39.5
17,Sevilla,3,54,1.42,175,123,72.0,10,11,17,8,21.1
18,Valencia,3,45,1.18,160,114,73.8,13,10,15,13,34.2
19,Villarreal,2,65,1.71,214,150,72.4,14,11,13,6,15.8
