,Squad,# Pl,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90
0,América (MG),4,81,5,3,6,3,73.3,0.32,-4.7,-0.12
1,Ath Paranaense,2,43,4,1,6,0,46.6,0.24,3.6,0.1
2,Atlético Mineiro,2,32,2,1,1,1,42.3,0.29,11.3,0.3
3,Bahia,3,53,6,1,4,1,60.1,0.29,8.1,0.21
4,Botafogo (RJ),2,37,0,0,2,1,49.9,0.3,13.9,0.37
5,Corinthians,2,48,6,0,8,1,56.2,0.27,9.2,0.24
6,Coritiba,3,73,9,2,11,2,63.1,0.25,-7.9,-0.21
7,Cruzeiro,2,32,2,2,3,0,42.4,0.29,10.4,0.27
8,Cuiabá,2,39,4,0,3,2,44.2,0.27,7.2,0.19
9,Flamengo,3,42,6,0,3,0,48.7,0.25,6.7,0.18
10,Fluminense,3,47,5,0,5,1,52.1,0.3,6.1,0.16
11,Fortaleza,3,44,3,0,10,2,44.4,0.25,2.4,0.06
12,Goiás,2,53,5,1,10,1,55.2,0.3,3.2,0.08
13,Grêmio,4,56,5,0,9,1,59.5,0.3,4.5,0.12
14,Internacional,3,45,6,2,5,1,51.7,0.28,7.7,0.2
15,Palmeiras,2,33,4,1,3,1,40.4,0.25,8.4,0.22
16,Red Bull Bragantino,2,35,7,0,4,1,43.9,0.28,9.9,0.26
17,Santos,2,64,4,2,9,3,59.5,0.28,-1.5,-0.04
18,São Paulo,2,38,8,1,1,1,43.3,0.27,6.3,0.17
19,Vasco da Gama,1,51,4,2,5,0,52.9,0.27,1.9,0.05
