,Squad,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Alavés,33,458,136,29.7,12.0,3.6,0.1,0.2,17.7,15,3,7,46.2,40.7,0.1,-13.2,-10.7
1,Almería,42,478,163,34.1,12.6,4.3,0.1,0.2,18.8,18,2,2,48.7,47.1,0.1,-6.7,-7.1
2,Athletic Club,59,458,163,35.6,12.0,4.3,0.1,0.3,15.9,7,3,5,52.7,48.7,0.1,6.3,7.3
3,Atlético Madrid,68,475,197,41.5,12.5,5.2,0.1,0.3,16.2,9,5,6,62.4,57.9,0.1,5.6,5.1
4,Barcelona,76,588,219,37.2,15.5,5.8,0.1,0.3,16.5,21,6,7,77.6,72.1,0.1,-1.6,-2.1
5,Betis,46,489,150,30.7,12.9,4.0,0.1,0.3,17.2,15,2,3,43.9,41.7,0.1,2.1,2.3
6,Cádiz,25,395,120,30.4,10.4,3.2,0.1,0.2,18.4,21,3,3,36.0,33.6,0.1,-11.0,-11.6
7,Celta Vigo,45,467,151,32.3,12.3,4.0,0.1,0.3,17.5,14,3,5,50.7,46.9,0.1,-5.7,-4.9
8,Getafe,42,446,150,33.6,11.7,4.0,0.1,0.2,18.6,14,6,7,45.7,40.2,0.1,-3.7,-4.2
9,Girona,84,476,178,37.4,12.5,4.7,0.2,0.4,16.4,13,7,8,70.8,64.6,0.1,13.2,12.4
10,Granada,35,394,123,31.2,10.4,3.2,0.1,0.2,17.8,15,5,8,42.6,36.4,0.1,-7.6,-6.4
11,Las Palmas,33,386,120,31.1,10.2,3.2,0.1,0.2,20.1,21,3,5,33.2,29.2,0.1,-0.2,0.8
12,Mallorca,33,415,131,31.6,10.9,3.4,0.1,0.2,16.8,4,1,3,40.5,38.2,0.1,-7.5,-6.2
13,Osasuna,45,421,124,29.5,11.1,3.3,0.1,0.3,17.9,14,4,5,40.5,36.6,0.1,4.5,4.4
14,Rayo Vallecano,29,487,160,32.9,12.8,4.2,0.0,0.1,20.8,47,6,6,42.3,37.7,0.1,-13.3,-14.7
15,Real Madrid,85,593,242,40.8,15.6,6.4,0.1,0.3,17.5,24,2,5,68.8,65.2,0.1,16.2,17.8
16,Real Sociedad,48,457,147,32.2,12.0,3.9,0.1,0.3,17.8,24,4,4,44.9,41.8,0.1,3.1,2.2
17,Sevilla,46,487,160,32.9,12.8,4.2,0.1,0.3,17.5,15,2,2,44.9,43.3,0.1,1.1,0.7
18,Valencia,39,368,123,33.4,9.7,3.2,0.1,0.2,18.7,16,8,9,43.1,36.2,0.1,-4.1,-5.2
19,Villarreal,64,462,163,35.3,12.2,4.3,0.1,0.4,16.2,8,5,7,55.6,50.1,0.1,8.4,8.9
