,Squad,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Atalanta,16051,19961,80.4,281418,100413,57,43.9,38.8,13.1,437,1223,381,114,1754
1,Bologna,19125,22504,85.0,315900,100821,32,32.1,25.8,-0.1,356,1267,256,55,1453
2,Cagliari,10731,14709,73.0,205047,81881,30,29.1,25.0,0.9,330,863,260,125,1109
3,Empoli,11571,15348,75.4,210427,82600,19,25.8,24.1,-6.8,297,827,206,74,1056
4,Fiorentina,16180,19975,81.0,306932,103541,41,35.3,39.0,5.7,395,1327,374,103,1656
5,Frosinone,13740,17545,78.3,226596,87424,29,30.2,24.8,-1.2,350,962,279,69,1326
6,Genoa,12053,15765,76.5,219285,85245,27,22.8,24.0,4.2,300,865,223,75,1079
7,Hellas Verona,10639,14710,72.3,211949,86317,29,27.2,22.8,1.8,335,958,216,92,1122
8,Inter,19136,22447,85.2,332897,109819,60,55.6,50.7,4.4,440,1288,437,116,1620
9,Juventus,14757,18079,81.6,274823,94184,37,39.6,37.0,-2.6,417,1191,296,105,1473
10,Lazio,17462,21071,82.9,293219,101247,30,32.9,31.6,-2.9,331,1270,316,62,1528
11,Lecce,11742,15397,76.3,220284,81904,23,30.6,23.1,-7.6,378,895,211,87,1183
12,Milan,17656,20741,85.1,304243,102555,56,46.0,41.1,10.0,430,1213,338,94,1569
13,Monza,16734,19870,84.2,310386,98194,29,27.8,27.5,1.2,348,1087,251,92,1248
14,Napoli,19517,22942,85.1,335198,107611,36,42.9,38.4,-6.9,497,1507,398,84,1758
15,Roma,17066,20523,83.2,298380,99682,44,34.4,31.5,9.6,363,1217,315,87,1469
16,Salernitana,12124,15920,76.2,210672,79322,25,22.4,18.6,2.6,310,885,207,74,1119
17,Sassuolo,11978,15683,76.4,221423,83557,28,25.9,25.0,2.1,340,995,248,60,1301
18,Torino,14578,18229,80.0,257125,90455,29,30.1,29.2,-1.1,338,1028,277,101,1333
19,Udinese,9976,13300,75.0,185378,75887,23,28.0,23.8,-5.0,329,874,186,76,1022
