,Squad,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Atalanta,51.0,24136,2222,7494,10658,6186,912,24131,618,286,46.3,270,43.7,13093,68816,34111,715,519,175,621,377,15915,1733
1,Bologna,58.1,26519,2580,8682,12696,5367,718,26514,673,293,43.5,322,47.8,15952,85775,42240,660,485,149,542,311,18969,1441
2,Cagliari,42.1,18599,2190,6532,7916,4352,669,18593,516,237,45.9,220,42.6,9241,50744,25755,529,339,111,545,338,10603,1097
3,Empoli,44.0,19509,2513,7254,8232,4223,643,19504,578,226,39.1,285,49.3,10396,56471,27643,524,356,142,543,304,11485,1049
4,Fiorentina,57.4,23659,2134,6769,10823,6269,911,23651,626,279,44.6,277,44.2,13983,74368,35906,621,541,162,543,331,15980,1640
5,Frosinone,49.7,21725,2575,7362,9638,4917,700,21715,709,297,41.9,349,49.2,11251,59970,29042,563,414,147,578,348,13600,1308
6,Genoa,44.1,19810,2525,7228,8554,4197,577,19804,450,193,42.9,200,44.4,10592,55859,27300,468,367,83,577,293,11911,1061
7,Hellas Verona,44.4,18925,2169,6433,8621,4096,598,18918,567,252,44.4,261,46.0,9744,53152,24445,539,383,113,595,284,10514,1108
8,Inter,57.1,26069,2583,8234,11755,6248,1016,26055,435,195,44.8,190,43.7,15793,76609,39147,720,568,163,474,230,18981,1603
9,Juventus,48.5,22069,2211,6537,10295,5425,881,22064,596,259,43.5,269,45.1,12535,68465,35950,709,501,183,553,307,14597,1451
10,Lazio,53.3,24841,2339,7512,12114,5447,774,24837,607,272,44.8,269,44.3,13267,72311,37906,716,521,143,507,243,17337,1521
11,Lecce,44.9,19618,2360,6793,8875,4210,664,19613,651,299,45.9,279,42.9,10797,63586,32668,635,429,152,605,357,11613,1171
12,Milan,56.9,24529,2325,7582,11624,5538,941,24521,765,359,46.9,324,42.4,15356,89172,47767,898,648,228,520,293,17457,1557
13,Monza,53.5,23552,2841,8296,10598,4849,712,23547,490,216,44.1,216,44.1,14512,79964,40662,723,556,165,519,265,16564,1236
14,Napoli,60.9,26724,2080,7134,12990,6831,1045,26714,744,327,44.0,344,46.2,15781,85638,42383,803,627,195,490,293,19330,1745
15,Roma,54.9,23999,2517,7747,11359,5055,803,23987,486,221,45.5,218,44.9,14345,75993,38939,682,532,164,433,271,16912,1461
16,Salernitana,44.5,19903,2438,6768,9074,4256,571,19901,536,212,39.6,269,50.2,10347,55274,25773,499,391,115,560,304,12016,1106
17,Sassuolo,43.8,19492,2317,6391,8488,4817,713,19484,580,277,47.8,252,43.4,10364,60707,31154,636,455,157,538,332,11857,1292
18,Torino,51.6,21921,2352,7011,10078,5040,678,21919,563,244,43.3,247,43.9,12779,69684,33416,710,463,123,547,272,14373,1309
19,Udinese,39.3,17831,2310,6522,7634,3962,602,17827,721,336,46.6,314,43.6,9261,54189,27514,601,415,138,645,335,9871,1011
