,Squad,# Pl,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%
0,América (MG),4,81,2.1,215,135,64.7,5,9,24,2,5.3
1,Ath Paranaense,2,43,1.1,170,124,77.1,14,14,10,10,26.3
2,Atlético Mineiro,2,32,0.8,140,109,78.6,19,9,10,15,39.5
3,Bahia,3,53,1.4,192,140,75.5,12,8,18,9,23.7
4,Botafogo (RJ),2,37,1.0,170,134,78.2,18,10,10,15,39.5
5,Corinthians,2,48,1.3,187,140,77.5,12,14,12,10,26.3
6,Coritiba,3,73,1.9,220,148,70.9,8,6,24,6,15.8
7,Cruzeiro,2,32,0.8,140,108,78.6,11,14,13,16,42.1
8,Cuiabá,2,39,1.0,151,114,76.8,14,9,15,13,34.2
9,Flamengo,3,42,1.1,176,133,79.5,19,9,10,15,39.5
10,Fluminense,3,47,1.2,160,114,73.8,16,8,14,12,31.6
11,Fortaleza,3,44,1.2,160,116,74.4,15,9,14,10,26.3
12,Goiás,2,53,1.4,176,124,72.7,9,11,18,10,26.3
13,Grêmio,4,56,1.5,186,131,72.6,21,5,12,8,21.1
14,Internacional,3,45,1.2,164,119,76.2,15,10,13,11,28.9
15,Palmeiras,2,33,0.9,149,116,80.5,20,10,8,16,42.1
16,Red Bull Bragantino,2,35,0.9,130,95,78.5,17,11,10,17,44.7
17,Santos,2,64,1.7,202,140,70.3,11,10,17,8,21.1
18,São Paulo,2,38,1.0,134,97,77.6,14,11,13,15,39.5
19,Vasco da Gama,1,51,1.3,182,130,74.2,12,9,17,9,23.7
