,Squad,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
0,Alavés,817,21.5,563,88,54,53,43,16,60,1.6,39,5,6,4,6,0
1,Almería,823,21.7,586,66,47,52,50,22,70,1.8,45,3,7,9,4,2
2,Athletic Club,817,21.5,612,81,48,33,32,11,103,2.7,83,6,6,3,4,1
3,Atlético Madrid,852,22.4,650,59,56,42,31,14,120,3.2,94,3,10,7,5,1
4,Barcelona,1063,28.0,798,83,63,69,39,11,136,3.6,105,6,6,11,7,1
5,Betis,870,22.9,632,75,52,62,34,15,78,2.0,57,3,5,7,3,3
6,Cádiz,698,18.4,478,85,30,48,42,15,40,1.0,25,4,1,5,4,1
7,Celta Vigo,855,22.5,645,67,50,43,42,8,81,2.1,63,2,5,5,6,0
8,Getafe,766,20.2,531,87,45,48,40,15,69,1.8,40,8,8,9,4,0
9,Girona,872,23.0,674,62,45,45,36,10,152,4.0,119,7,10,7,8,1
10,Granada,708,18.6,475,74,47,50,49,13,63,1.7,45,3,3,5,5,2
11,Las Palmas,707,18.6,560,40,38,30,30,9,60,1.6,49,3,1,3,3,1
12,Mallorca,734,19.3,501,99,37,52,33,12,57,1.5,33,12,1,8,3,0
13,Osasuna,714,18.8,505,77,32,47,45,8,73,1.9,45,8,4,10,6,0
14,Rayo Vallecano,815,21.4,548,79,36,62,70,20,40,1.0,21,3,3,7,5,1
15,Real Madrid,1082,28.5,813,72,84,59,38,16,154,4.0,113,8,16,13,2,2
16,Real Sociedad,775,20.4,528,79,53,59,37,19,79,2.1,54,4,6,9,4,2
17,Sevilla,874,23.0,641,94,42,40,45,12,84,2.2,62,6,6,5,2,3
18,Valencia,670,17.6,478,66,38,29,42,17,66,1.7,47,3,5,5,6,0
19,Villarreal,855,22.5,624,76,53,56,30,16,111,2.9,77,9,4,15,5,1
