,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance
0,1,Bayern Munich,34,21,8,5,92,38,54,71,2.1,75.0,37.1,37.8,1.1,75000
1,2,Dortmund,34,22,5,7,83,44,39,71,2.1,71.1,43.2,27.9,0.8,81228
2,3,RB Leipzig,34,20,6,8,64,41,23,66,1.9,62.7,37.2,25.4,0.8,45961
3,4,Union Berlin,34,18,8,8,51,38,13,62,1.8,37.9,42.6,-4.7,-0.1,21822
4,5,Freiburg,34,17,8,9,51,44,7,59,1.7,47.9,48.8,-0.9,-0.0,34112
5,6,Leverkusen,34,14,8,12,57,49,8,50,1.5,51.4,42.8,8.6,0.2,28609
6,7,Eint Frankfurt,34,13,11,10,58,52,6,50,1.5,52.1,43.5,8.6,0.2,50100
7,8,Wolfsburg,34,13,10,11,57,48,9,49,1.4,51.3,51.3,0.0,0.0,25394
8,9,Mainz 05,34,12,10,12,54,55,-1,46,1.4,47.1,53.6,-6.5,-0.2,29070
9,10,Gladbach,34,11,10,13,52,55,-3,43,1.3,52.1,53.4,-1.3,-0.0,52378
10,11,Köln,34,10,12,12,49,54,-5,42,1.2,47.9,42.6,5.3,0.2,49765
11,12,Hoffenheim,34,10,6,18,48,57,-9,36,1.1,48.0,51.1,-3.1,-0.1,24625
12,13,Werder Bremen,34,10,6,18,51,64,-13,36,1.1,41.1,52.9,-11.8,-0.4,41556
13,14,Bochum,34,10,5,19,40,72,-32,35,1.0,40.0,65.7,-25.7,-0.8,25318
14,15,Augsburg,34,9,7,18,42,63,-21,34,1.0,34.7,58.7,-23.9,-0.7,27956
15,16,Stuttgart,34,7,12,15,45,57,-12,33,1.0,47.6,45.2,2.4,0.1,46541
16,17,Schalke 04,34,7,10,17,35,71,-36,31,0.9,39.6,57.1,-17.6,-0.5,61133
17,18,Hertha BSC,34,7,8,19,42,69,-27,29,0.8,39.4,60.0,-20.5,-0.6,53670
