,Squad,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Almería,12151,15855,76.6,225475,89276,33,32.5,28.1,0.5,316,846,218,81,1090
1,Athletic Club,14440,18630,77.5,261620,96037,33,38.9,35.7,-5.9,413,1385,341,107,1816
2,Atlético Madrid,16814,20488,82.1,277627,101839,51,48.0,40.0,3.0,418,1200,335,68,1571
3,Barcelona,21298,24733,86.1,364375,115139,56,60.1,66.6,-4.1,449,1859,482,104,2181
4,Betis,14678,18249,80.4,245275,92460,26,34.6,31.7,-8.6,310,988,270,54,1272
5,Cádiz,9940,13952,71.2,190101,78677,20,27.7,24.7,-7.7,269,830,192,93,969
6,Celta Vigo,14700,18499,79.5,267004,91075,31,30.8,31.6,0.2,353,1143,274,77,1403
7,Elche,12051,15758,76.5,218542,87460,21,27.1,26.2,-6.1,313,941,211,82,1197
8,Espanyol,10827,14698,73.7,208293,86401,31,35.0,30.2,-4.0,319,906,233,83,1146
9,Getafe,9690,14126,68.6,189556,83925,21,22.5,24.0,-1.5,248,844,214,94,1003
10,Girona,15146,18604,81.4,264810,95707,41,37.5,35.4,3.5,366,1086,265,91,1378
11,Mallorca,10451,14261,73.3,199896,84037,27,26.5,23.1,0.5,252,815,182,69,948
12,Osasuna,12725,16835,75.6,242236,95597,30,28.4,31.7,1.6,322,1140,271,114,1356
13,Rayo Vallecano,13497,17666,76.4,251321,91899,29,30.0,29.7,-1.0,386,1247,269,102,1390
14,Real Madrid,22082,25012,88.3,357586,113878,56,56.8,56.6,-0.8,522,1880,384,50,2017
15,Real Sociedad,15324,19134,80.1,269422,96159,36,39.7,36.4,-3.7,346,1145,290,65,1483
16,Sevilla,15379,19193,80.1,273953,95369,31,32.0,34.0,-1.0,341,1230,302,95,1513
17,Valencia,13592,17492,77.7,240816,86465,23,32.5,35.8,-9.5,355,1155,302,111,1472
18,Valladolid,12627,16425,76.9,238766,87767,24,28.4,24.4,-4.4,324,969,223,92,1244
19,Villarreal,16634,19862,83.7,295552,101196,33,43.2,38.3,-10.2,374,1304,349,52,1622
