,Cl,Equipe,MP,V,E,D,GP,GC,GD,Pt,Pts/PPJ,xG,xGA,xGD,xGD/90,Público,Artilheiro da equipe,Goleiro,Gols do artilheiro
0,1,Barcelona,38,28,4,6,70,20,50,88,232,75.5,33.2,42.3,111,83.498,Robert Lewandowski,Marc-André ter Stegen,23
1,2,Real Madrid,38,24,6,8,75,36,39,78,205,75.5,38.9,36.6,96,56.649,Karim Benzema,Thibaut Courtois,19
2,3,Atlético Madrid,38,23,8,7,70,33,37,77,203,61.9,41.1,20.8,55,55.8,Antoine Griezmann,Jan Oblak,15
3,4,Real Sociedad,38,21,8,9,51,35,16,71,187,52.9,33.0,19.8,52,32.189,Alexander Sørloth,Álex Remiro,12
4,5,Villarreal,38,19,7,12,59,40,19,64,168,61.6,49.9,11.8,31,16.406,Nicolas Jackson,Pepe Reina,12
5,6,Betis,38,17,9,12,46,41,5,60,158,51.3,50.0,1.3,3,49.635,Borja Iglesias,Rui Silva,15
6,7,Osasuna,38,15,8,15,37,42,-5,53,139,39.8,45.7,-5.9,-15,19.655,"Ante Budimir, Ezequiel Ávila",Aitor Fernández,8
7,8,Athletic Club,38,14,9,15,47,43,4,51,134,54.2,36.9,17.3,46,43.488,"Iñaki Williams, Oihan Sancet",Unai Simón,10
8,9,Mallorca,38,14,8,16,37,43,-6,50,132,35.2,46.4,-11.2,-30,14.799,Vedat Muriqi,Predrag Rajković,15
9,10,Girona,38,13,10,15,58,55,3,49,129,50.6,54.9,-4.3,-11,11.471,Valentín Castellanos,Paulo Gazzaniga,13
10,11,Rayo Vallecano,38,13,10,15,45,53,-8,49,129,43.9,50.3,-6.4,-17,12.525,Isaac Palazón Camacho,Stole Dimitrievski,9
11,12,Sevilla,38,13,10,15,47,54,-7,49,129,46.3,54.2,-7.9,-21,35.566,Youssef En-Nesyri,Yassine Bounou,8
12,13,Celta Vigo,38,11,10,17,43,53,-10,43,113,42.6,45.4,-2.8,-7,14.425,Iago Aspas,"Agustín Marchesín, Iván Villar",12
13,14,Cádiz,38,10,12,16,30,53,-23,42,111,41.5,61.6,-20.1,-53,17.741,"Theo Bongonda, Gonzalo Escalante",Jeremías Ledesma,4
14,15,Getafe,38,10,12,16,34,45,-11,42,111,36.7,46.0,-9.4,-25,11.592,Enes Ünal,David Soria,14
15,16,Valencia,38,11,9,18,42,45,-3,42,111,49.3,43.5,5.8,15,40.602,"Samuel Lino, Justin Kluivert",Giorgi Mamardashvili,6
16,17,Almería,38,11,8,19,49,65,-16,41,108,45.5,62.5,-17.0,-45,12.961,El Bilal Touré,Fernando,7
17,18,Valladolid,38,11,7,20,33,63,-30,40,105,38.5,65.2,-26.6,-70,20.943,Cyle Larin,Jordi Masip,8
18,19,Espanyol,38,8,13,17,52,69,-17,37,97,48.3,59.8,-11.5,-30,21.601,Joselu,Fernando Pacheco,16
19,20,Elche,38,5,10,23,30,67,-37,25,66,37.5,70.0,-32.6,-86,19.875,Lucas Boyé,Édgar Badía,7
