,Equipe,# J,90s,Cmp,Att,Cmp%,DistTot,DistPrg,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Assis.,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Almería,29,38.0,12151,15855,766,225475,89276,5232,6003,872,5084,6022,844,1512,2911,519,33,32.5,28.1,0.5,316,846,218,81,1090
1,Athletic Club,26,38.0,14440,18630,775,261620,96037,6451,7431,868,6030,7262,830,1634,2878,568,33,38.9,35.7,-5.9,413,1385,341,107,1816
2,Atlético Madrid,27,38.0,16814,20488,821,277627,101839,8616,9432,913,6028,7038,856,1549,2765,560,51,48.0,40.0,3.0,418,1200,335,68,1571
3,Barcelona,29,38.0,21293,24725,861,364326,115126,10262,11168,919,8599,9542,901,1990,2923,681,56,60.1,66.6,-4.1,449,1859,481,104,2180
4,Betis,30,38.0,14678,18249,804,245275,92460,7288,8070,903,5334,6273,850,1432,2667,537,26,34.6,31.7,-8.6,310,988,270,54,1272
5,Cádiz,38,38.0,9940,13952,712,190101,78677,4341,5147,843,3874,4864,796,1452,3117,466,20,27.7,24.7,-7.7,269,830,192,93,969
6,Celta Vigo,26,38.0,14700,18499,795,267004,91075,6259,7148,876,6536,7569,864,1565,2844,550,31,30.8,31.6,0.2,353,1143,274,77,1403
7,Elche,32,38.0,12051,15758,765,218542,87460,5427,6202,875,4762,5677,839,1477,2793,529,21,27.1,26.2,-6.1,313,941,211,82,1197
8,Espanyol,33,38.0,10827,14698,737,208293,86401,4483,5312,844,4607,5640,817,1483,2971,499,31,35.0,30.2,-4.0,319,906,233,83,1146
9,Getafe,25,38.0,9690,14126,686,189556,83925,4104,5044,814,3760,4936,762,1502,3175,473,21,22.5,24.0,-1.5,248,844,214,94,1003
10,Girona,29,38.0,15146,18604,814,264810,95707,7006,7806,898,6295,7222,872,1449,2560,566,41,37.5,35.4,3.5,366,1086,265,91,1378
11,Mallorca,31,38.0,10451,14261,733,199896,84037,4575,5313,861,4184,5157,811,1424,2932,486,27,26.5,23.1,0.5,252,815,182,69,948
12,Osasuna,26,38.0,12725,16835,756,242236,95597,5565,6377,873,5130,6255,820,1759,3323,529,30,28.4,31.7,1.6,322,1140,271,114,1356
13,Rayo Vallecano,28,38.0,13497,17666,764,251321,91899,5811,6629,877,5654,6716,842,1717,3329,516,29,30.0,29.7,-1.0,386,1247,269,102,1390
14,Real Madrid,26,38.0,22082,25012,883,357586,113878,11462,12245,936,8069,8810,916,1812,2595,698,56,56.8,56.6,-0.8,522,1880,384,50,2017
15,Real Sociedad,30,38.0,15324,19134,801,269422,96159,6955,7910,879,6451,7502,860,1505,2659,566,36,39.7,36.4,-3.7,346,1145,290,65,1483
16,Sevilla,35,38.0,15379,19193,801,273953,95369,7106,7918,897,6324,7354,860,1599,2958,541,31,32.0,34.0,-1.0,341,1230,302,95,1513
17,Valencia,28,38.0,13592,17492,777,240816,86465,6320,7184,880,5505,6588,836,1420,2753,516,23,32.5,35.8,-9.5,355,1155,302,111,1472
18,Valladolid,36,38.0,12627,16425,769,238766,87767,5273,6049,872,5251,6199,847,1734,3141,552,24,28.4,24.4,-4.4,324,969,223,92,1244
19,Villarreal,32,38.0,16634,19862,837,295552,101196,7381,8147,906,7101,7924,896,1743,2737,637,33,43.2,38.3,-10.2,374,1304,349,52,1622
