,Squad,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
0,Atalanta,928,24.4,681,87,64,51,33,12,113,3.0,83,5,6,11,7,1
1,Bologna,866,22.8,642,72,45,49,46,12,91,2.4,64,11,3,7,6,0
2,Cremonese,789,20.8,551,81,37,61,45,14,53,1.4,31,5,4,9,4,0
3,Empoli,767,20.2,537,77,46,46,47,14,60,1.6,39,6,6,5,4,0
4,Fiorentina,1068,28.1,763,113,54,70,53,15,89,2.3,64,6,7,7,4,1
5,Hellas Verona,704,18.5,482,90,41,42,29,20,50,1.3,31,4,5,7,2,1
6,Inter,1104,29.0,816,117,29,79,52,11,118,3.1,88,4,7,10,7,2
7,Juventus,911,24.0,638,94,50,77,38,14,91,2.4,61,7,3,9,9,2
8,Lazio,760,20.0,576,56,44,43,32,9,103,2.7,78,3,6,11,5,0
9,Lecce,699,18.4,483,84,43,42,38,9,50,1.3,38,2,4,3,2,1
10,Milan,985,25.9,688,91,65,68,58,15,111,2.9,76,6,15,7,4,3
11,Monza,714,18.8,537,60,30,40,35,12,86,2.3,62,5,6,4,8,1
12,Napoli,1105,29.1,819,92,58,66,47,23,131,3.4,98,8,4,14,6,1
13,Roma,861,22.7,574,110,43,68,53,13,85,2.2,52,10,5,12,5,1
14,Salernitana,656,17.3,489,58,27,44,30,8,81,2.1,64,4,4,7,2,0
15,Sampdoria,637,16.8,456,52,28,46,39,16,36,1.0,26,2,1,4,1,2
16,Sassuolo,871,22.9,684,50,49,41,34,13,81,2.1,56,4,4,10,7,0
17,Spezia,710,18.7,511,61,39,43,38,18,42,1.1,29,1,3,5,4,0
18,Torino,821,21.6,635,61,52,40,21,12,74,2.0,58,2,7,4,3,0
19,Udinese,889,23.4,625,87,53,58,51,15,80,2.1,61,6,3,3,5,2
