,Squad,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
0,Arsenal,1045,27.5,776,78,57,73,43,18,150,4.0,121,6,5,13,3,2
1,Aston Villa,751,19.8,565,50,48,38,40,10,84,2.2,55,2,6,12,6,3
2,Bournemouth,616,16.2,444,45,53,43,24,7,64,1.7,44,5,4,8,2,1
3,Brentford,702,18.5,475,99,32,45,44,7,98,2.6,65,8,4,8,11,2
4,Brighton,1075,28.3,819,73,81,63,27,12,115,3.0,83,3,13,9,6,1
5,Chelsea,859,22.6,667,66,42,42,31,11,68,1.8,57,3,2,2,4,0
6,Crystal Palace,746,19.6,497,67,56,49,59,18,67,1.8,43,6,6,6,4,2
7,Everton,735,19.3,493,84,39,54,45,20,59,1.6,41,5,5,2,4,2
8,Fulham,751,19.8,528,78,29,54,47,15,90,2.4,56,9,5,11,7,2
9,Leeds United,783,20.6,535,99,32,54,48,15,69,1.8,43,7,4,9,3,3
10,Leicester City,744,19.6,540,52,50,50,38,14,87,2.3,59,2,8,8,7,3
11,Liverpool,1046,27.5,778,85,56,75,33,19,129,3.4,97,9,7,8,7,1
12,Manchester City,1099,28.9,826,81,53,76,49,14,168,4.4,130,7,8,9,12,2
13,Manchester Utd,1051,27.7,840,58,46,63,35,9,99,2.6,79,3,8,5,4,0
14,Newcastle Utd,1008,26.5,690,110,62,77,57,12,106,2.8,64,6,15,10,6,5
15,Nott'ham Forest,593,15.6,416,59,31,38,36,13,54,1.4,31,5,4,11,3,0
16,Southampton,718,18.9,493,77,46,51,38,13,61,1.6,35,5,7,5,6,3
17,Tottenham,910,24.0,692,60,46,55,38,19,116,3.0,84,7,7,9,7,2
18,West Ham,817,21.5,586,81,40,60,35,15,67,1.8,41,6,6,8,6,0
19,Wolves,713,18.8,520,62,31,47,42,11,44,1.2,32,1,3,6,1,1
