,Squad,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Augsburg,8422,12742,66.1,169408,75215,29,24.3,24.6,4.7,240,662,191,44,847
1,Bayern Munich,19404,22716,85.4,335478,115394,67,56.6,63.6,10.4,488,1561,474,70,2041
2,Bochum,9209,13549,68.0,185905,86106,28,28.4,31.4,-0.4,289,856,225,73,1022
3,Dortmund,16445,19889,82.7,290786,100043,61,51.9,50.6,9.1,423,1265,341,78,1628
4,Eint Frankfurt,13930,17975,77.5,240605,87723,33,36.2,40.1,-3.2,289,1003,263,64,1372
5,Freiburg,11653,15533,75.0,224503,85849,34,28.5,33.2,5.5,288,884,237,67,1039
6,Gladbach,15516,18854,82.3,267610,95706,39,41.2,39.9,-2.2,327,885,247,50,1168
7,Hertha BSC,8876,12800,69.3,165190,72608,23,25.3,26.7,-2.3,247,665,161,42,914
8,Hoffenheim,11754,15564,75.5,218184,88463,30,32.4,39.6,-2.4,294,928,260,77,1175
9,Köln,12242,16367,74.8,229690,84892,31,35.1,37.6,-4.1,307,840,259,84,1247
10,Leverkusen,14683,18206,80.6,247352,87593,44,38.9,36.4,5.1,349,926,230,48,1243
11,Mainz 05,10075,14492,69.5,186572,81107,35,30.0,33.8,5.0,278,872,270,80,1155
12,RB Leipzig,16911,20529,82.4,297606,99659,39,43.2,48.2,-4.2,376,1237,320,53,1450
13,Schalke 04,9234,13360,69.1,182759,80288,24,28.7,31.4,-4.7,282,698,250,110,934
14,Stuttgart,13460,16987,79.2,253792,92829,34,38.1,38.2,-4.1,361,970,260,78,1278
15,Union Berlin,10312,14418,71.5,197596,82612,38,25.9,30.5,12.1,272,878,255,115,1012
16,Werder Bremen,12443,16554,75.2,236998,93050,37,29.0,34.6,8.0,274,922,274,66,1140
17,Wolfsburg,12571,16129,77.9,245765,94282,44,39.2,40.4,4.8,303,1009,272,67,1306
