,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance
0,1,Palmeiras,38,23,12,3,66,27,39,81,2.1,69.3,33.2,36.1,1.0,36565
1,2,Internacional,38,20,13,5,58,31,27,73,1.9,55.8,45.1,10.8,0.3,23618
2,3,Fluminense,38,21,7,10,63,41,22,70,1.8,50.1,40.3,9.7,0.3,29266
3,4,Corinthians,38,18,11,9,44,36,8,65,1.7,40.9,41.0,-0.2,0.0,38631
4,5,Flamengo,38,18,8,12,60,39,21,62,1.6,65.4,35.8,29.6,0.8,50998
5,6,Ath Paranaense,38,16,10,12,48,48,0,58,1.5,47.1,48.4,-1.3,-0.0,19693
6,7,Atlético Mineiro,38,15,13,10,45,37,8,58,1.5,54.1,33.7,20.4,0.5,30386
7,8,Fortaleza,38,15,10,13,46,39,7,55,1.4,44.5,42.9,1.5,0.0,32642
8,9,São Paulo,38,13,15,10,55,42,13,54,1.4,49.7,44.4,5.3,0.1,32249
9,10,América (MG),38,15,8,15,40,40,0,53,1.4,45.6,49.7,-4.1,-0.1,3415
10,11,Botafogo (RJ),38,15,8,15,41,43,-2,53,1.4,40.8,50.4,-9.6,-0.2,21413
11,12,Santos,38,12,11,15,44,41,3,47,1.2,46.2,48.0,-1.8,-0.0,11370
12,13,Goiás,38,11,13,14,40,53,-13,46,1.2,34.6,61.6,-27.0,-0.7,10290
13,14,Red Bull Bragantino,38,11,11,16,49,59,-10,44,1.2,52.7,49.5,3.1,0.1,5011
14,15,Coritiba,38,12,6,20,39,60,-21,42,1.1,42.3,53.6,-11.3,-0.3,18400
15,16,Cuiabá,38,10,11,17,31,42,-11,41,1.1,41.0,47.8,-6.8,-0.2,13821
16,17,Ceará,38,7,16,15,34,41,-7,37,1.0,43.9,48.0,-4.0,-0.1,28814
17,18,Atl Goianiense,38,8,12,18,39,57,-18,36,1.0,43.1,51.2,-8.2,-0.2,7019
18,19,Avaí,38,9,8,21,34,60,-26,35,0.9,44.0,62.6,-18.6,-0.5,8690
19,20,Juventude,38,3,13,22,29,69,-40,22,0.6,33.4,57.1,-23.6,-0.6,3800
