,Squad,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,América (MG),45.9,20148,2289,6305,8322,5794,866,20141,686,320,46.6,299,43.6,10549,64052,34510,697,500,153,605,359,11451,1611
1,Ath Paranaense,44.1,19203,2069,5862,8905,4681,612,19192,620,288,46.5,308,49.7,10315,57702,30128,565,479,103,616,296,11067,1264
2,Atl Goianiense,50.6,21794,2513,7247,9462,5297,770,21791,605,301,49.8,272,45.0,12464,70761,36892,705,524,143,507,241,14007,1509
3,Atlético Mineiro,58.6,25264,2115,6904,12194,6399,855,25258,677,365,53.9,271,40.0,15230,76932,38978,694,566,157,578,328,17537,1810
4,Avaí,50.2,22005,2456,7022,10659,4578,544,21992,655,333,50.8,281,42.9,12149,64365,33344,563,484,94,583,345,13898,1334
5,Botafogo (RJ),48.7,21189,2093,6338,10322,4773,683,21185,842,416,49.4,381,45.2,11927,66946,32817,626,477,142,674,356,12944,1284
6,Ceará,50.9,20693,2077,6061,9744,5126,664,20686,642,316,49.2,284,44.2,11730,65021,34175,610,500,106,499,322,12958,1458
7,Corinthians,54.7,24594,2072,7226,12120,5469,665,24591,649,331,51.0,274,42.2,14407,73200,36772,606,486,135,585,271,16671,1480
8,Coritiba,45.2,19940,2250,6406,8958,4814,670,19936,650,337,51.8,279,42.9,11155,62567,34010,624,445,115,616,316,12124,1335
9,Cuiabá,44.2,19587,2142,6216,8710,4901,676,19582,569,256,45.0,278,48.9,10457,58009,29761,538,440,100,539,324,11646,1362
10,Flamengo,57.3,24603,2027,6400,11427,7062,983,24597,751,402,53.5,292,38.9,15331,80124,42935,787,626,191,566,344,17074,1947
11,Fluminense,60.8,26092,2225,7431,12120,6756,812,26088,855,445,52.0,349,40.8,15785,80967,45626,773,622,145,529,471,18496,1606
12,Fortaleza,45.2,19436,1964,5599,9280,4806,678,19430,724,377,52.1,284,39.2,10295,61970,32569,614,446,140,575,328,11177,1365
13,Goiás,40.2,17529,2636,6738,7122,3899,577,17523,597,301,50.4,260,43.6,8778,50967,27129,494,377,71,614,272,9457,955
14,Internacional,50.0,22340,2090,6250,10675,5654,783,22330,598,320,53.5,231,38.6,12978,68366,35466,750,590,147,526,306,14492,1494
15,Juventude,45.8,19911,2416,7497,8450,4172,601,19907,595,279,46.9,283,47.6,11042,59235,28983,509,396,96,532,290,12151,1209
16,Palmeiras,54.3,22226,2033,6552,10090,5823,950,22217,680,327,48.1,312,45.9,12660,71163,38661,750,499,178,530,292,14300,1700
17,Red Bull Bragantino,49.7,21543,2268,6602,9872,5292,688,21538,576,288,50.0,251,43.6,13324,77911,39913,659,544,101,606,335,13272,1493
18,Santos,48.1,21060,2173,6322,10297,4697,710,21057,734,379,51.6,301,41.0,11715,66241,35336,661,542,129,514,326,13175,1376
19,São Paulo,55.5,23417,2151,6554,11237,5811,843,23410,579,289,49.9,250,43.2,13774,70389,37463,651,507,137,559,295,15762,1681
