,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance
0,1,Manchester City,38,28,5,5,94,33,61,89,2.3,78.6,32.1,46.5,1.2,53249
1,2,Arsenal,38,26,6,6,88,43,45,84,2.2,71.6,42.0,29.6,0.8,60191
2,3,Manchester Utd,38,23,6,9,58,43,15,75,2.0,67.7,50.4,17.3,0.4,73671
3,4,Newcastle Utd,38,19,14,5,68,33,35,71,1.9,71.9,39.5,32.3,0.8,52127
4,5,Liverpool,38,19,10,9,75,47,28,67,1.8,71.5,50.8,20.7,0.6,53163
5,6,Brighton,38,18,8,12,72,53,19,62,1.6,73.3,50.2,23.1,0.6,31477
6,7,Aston Villa,38,18,7,13,51,46,5,61,1.6,50.3,52.5,-2.2,-0.1,41679
7,8,Tottenham,38,18,6,14,70,63,7,60,1.6,57.0,49.6,7.4,0.2,61585
8,9,Brentford,38,15,14,9,58,46,12,59,1.6,56.3,48.8,7.5,0.2,17078
9,10,Fulham,38,15,7,16,55,53,2,52,1.4,46.2,63.6,-17.4,-0.5,23746
10,11,Crystal Palace,38,11,12,15,40,49,-9,45,1.2,39.3,48.1,-8.8,-0.2,24952
11,12,Chelsea,38,11,11,16,38,47,-9,44,1.2,49.5,52.5,-3.0,-0.1,40002
12,13,Wolves,38,11,8,19,31,58,-27,41,1.1,36.8,59.9,-23.0,-0.6,31482
13,14,West Ham,38,11,7,20,42,55,-13,40,1.0,49.2,53.0,-3.9,-0.1,62462
14,15,Bournemouth,38,11,6,21,37,71,-34,39,1.0,38.5,63.8,-25.3,-0.7,10362
15,16,Nott'ham Forest,38,9,11,18,38,68,-30,38,1.0,39.3,64.2,-24.9,-0.7,29188
16,17,Everton,38,8,12,18,34,57,-23,36,1.0,45.2,65.5,-20.4,-0.5,39243
17,18,Leicester City,38,9,7,22,51,68,-17,34,0.9,50.5,63.3,-12.8,-0.3,31887
18,19,Leeds United,38,7,10,21,48,78,-30,31,0.8,47.3,67.1,-19.8,-0.5,36566
19,20,Southampton,38,6,7,25,36,73,-37,25,0.7,37.8,60.8,-23.0,-0.6,30440
