,Squad,# Pl,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%
0,Atalanta,3,48,1.3,153,107,70.6,19,7,12,9,23.7
1,Bologna,2,49,1.3,165,117,74.5,14,12,12,8,21.1
2,Cremonese,3,69,1.8,225,157,71.6,5,12,21,6,15.8
3,Empoli,3,49,1.3,159,110,71.7,10,13,15,9,23.7
4,Fiorentina,4,43,1.1,120,78,70.0,15,11,12,10,26.3
5,Hellas Verona,2,59,1.6,185,128,68.6,7,10,21,6,15.8
6,Inter,3,42,1.1,137,98,71.5,23,3,12,13,34.2
7,Juventus,2,33,0.9,133,99,78.2,22,6,10,20,52.6
8,Lazio,2,30,0.8,128,99,77.3,22,8,8,21,55.3
9,Lecce,1,46,1.2,156,112,73.7,8,12,18,6,15.8
10,Milan,3,43,1.1,123,80,68.3,20,10,8,12,31.6
11,Monza,2,52,1.4,172,121,71.5,14,10,14,10,26.3
12,Napoli,2,28,0.7,107,78,74.8,28,6,4,18,47.4
13,Roma,2,38,1.0,118,80,69.5,18,9,11,14,36.8
14,Salernitana,3,62,1.6,196,130,71.9,9,15,14,7,18.4
15,Sampdoria,3,71,1.9,215,144,70.7,3,10,25,4,10.5
16,Sassuolo,3,61,1.6,130,71,56.2,12,9,17,9,23.7
17,Spezia,4,62,1.6,183,123,68.9,6,13,19,6,15.8
18,Torino,1,41,1.1,136,95,73.5,14,11,13,11,28.9
19,Udinese,1,48,1.3,137,91,69.3,11,13,14,10,26.3
