,Squad,# Pl,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%
0,Arsenal,1,43,1.13,136,94,70.6,26,6,6,14,36.8
1,Aston Villa,2,46,1.21,151,108,72.8,18,7,13,12,31.6
2,Bournemouth,2,71,1.87,204,136,68.1,11,6,21,8,21.1
3,Brentford,1,46,1.21,197,154,77.7,15,14,9,12,31.6
4,Brighton,2,53,1.39,131,82,64.1,18,8,12,12,31.6
5,Chelsea,2,47,1.24,159,115,71.1,11,11,16,10,26.3
6,Crystal Palace,3,49,1.29,160,114,71.9,11,12,15,9,23.7
7,Everton,2,57,1.5,185,127,71.9,8,12,18,9,23.7
8,Fulham,2,53,1.39,196,144,76.5,15,7,16,9,23.7
9,Leeds United,2,78,2.05,185,108,60.5,7,10,21,5,13.2
10,Leicester City,2,68,1.79,178,113,64.0,9,7,22,7,18.4
11,Liverpool,2,47,1.24,157,111,71.3,19,10,9,14,36.8
12,Manchester City,2,33,0.87,92,60,67.4,28,5,5,13,34.2
13,Manchester Utd,1,43,1.13,142,99,71.1,23,6,9,17,44.7
14,Newcastle Utd,2,33,0.87,127,94,75.6,19,14,5,14,36.8
15,Nott'ham Forest,3,68,1.79,182,112,65.9,9,11,18,8,21.1
16,Southampton,2,73,1.92,150,81,52.7,6,7,25,4,10.5
17,Tottenham,2,63,1.66,172,109,65.1,18,6,14,10,26.3
18,West Ham,2,55,1.45,170,115,70.0,11,7,20,9,23.7
19,Wolves,2,58,1.53,174,115,67.8,11,8,19,11,28.9
