,Squad,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Augsburg,41,354,101,28.5,10.4,3.0,0.1,0.4,18.2,14,4,5,34.7,30.9,0.1,6.3,6.1
1,Bayern Munich,90,625,251,40.2,18.4,7.4,0.1,0.4,16.7,10,3,5,75.0,71.0,0.1,15.0,16.0
2,Bochum,37,397,127,32.0,11.7,3.7,0.1,0.3,18.1,11,3,3,40.0,37.7,0.1,-3.0,-3.7
3,Dortmund,81,558,219,39.2,16.4,6.4,0.1,0.4,16.6,20,4,6,71.1,66.5,0.1,9.9,10.5
4,Eint Frankfurt,56,399,132,33.1,11.7,3.9,0.1,0.4,16.9,14,6,6,52.1,47.4,0.1,3.9,2.6
5,Freiburg,51,412,167,40.5,12.1,4.9,0.1,0.3,17.1,16,7,8,47.9,41.6,0.1,3.1,2.4
6,Gladbach,52,403,166,41.2,11.8,4.9,0.1,0.3,17.3,12,4,6,52.1,47.5,0.1,-0.1,0.5
7,Hertha BSC,42,377,121,32.1,11.1,3.6,0.1,0.3,18.4,11,7,7,39.4,33.9,0.1,2.6,1.1
8,Hoffenheim,46,398,130,32.7,11.7,3.8,0.1,0.3,17.3,16,7,9,48.0,41.1,0.1,-2.0,-2.1
9,Köln,46,413,146,35.4,12.2,4.3,0.1,0.3,16.2,6,4,4,47.9,44.7,0.1,-1.9,-2.7
10,Leverkusen,57,432,160,37.0,12.7,4.7,0.1,0.3,17.4,16,5,7,51.4,46.0,0.1,5.6,6.0
11,Mainz 05,54,414,152,36.7,12.2,4.5,0.1,0.3,17.1,17,4,6,47.1,42.4,0.1,6.9,7.6
12,RB Leipzig,64,497,182,36.6,14.6,5.4,0.1,0.3,17.5,18,6,7,62.7,57.4,0.1,1.3,0.6
13,Schalke 04,32,421,123,29.2,12.4,3.6,0.1,0.2,17.7,19,4,5,39.6,35.9,0.1,-7.6,-7.9
14,Stuttgart,45,457,140,30.6,13.4,4.1,0.1,0.3,17.9,14,5,5,47.6,43.7,0.1,-2.6,-3.7
15,Union Berlin,49,374,113,30.2,11.0,3.3,0.1,0.4,17.9,5,3,7,37.9,32.5,0.1,11.1,13.5
16,Werder Bremen,50,363,136,37.5,10.7,4.0,0.1,0.3,17.9,18,5,6,41.1,36.4,0.1,8.9,8.6
17,Wolfsburg,55,401,138,34.4,11.8,4.1,0.1,0.4,16.9,11,4,7,51.3,45.8,0.1,3.7,5.2
