,Equipe,# J,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
0,Augsburg,34,34.0,522,299,251,202,69,232,479,484,247,428,125,303,286,808,755,14
1,Bayern Munich,28,34.0,623,387,263,258,102,287,538,533,251,381,77,304,287,910,477,19
2,Bochum,26,34.0,626,386,301,247,78,310,635,488,325,402,118,284,337,963,776,13
3,Dortmund,30,34.0,580,334,246,241,93,287,551,521,264,382,95,287,298,878,491,9
4,Eint Frankfurt,28,34.0,562,357,244,248,70,265,585,453,320,415,88,327,284,846,687,5
5,Freiburg,27,34.0,498,289,223,211,64,207,451,459,244,375,106,269,325,823,612,10
6,Gladbach,27,34.0,497,275,274,171,52,267,536,498,269,405,104,301,267,764,728,7
7,Hertha BSC,32,34.0,576,344,307,215,54,251,521,482,270,416,132,284,366,942,797,8
8,Hoffenheim,31,34.0,543,323,254,231,58,236,474,498,238,428,119,309,285,828,665,8
9,Köln,27,34.0,615,370,287,263,65,310,666,465,356,423,99,324,372,987,716,5
10,Leverkusen,27,34.0,494,280,242,206,46,236,421,561,185,358,99,259,294,788,599,12
11,Mainz 05,27,34.0,547,341,268,206,73,270,559,483,289,419,98,321,433,980,673,9
12,RB Leipzig,25,34.0,534,312,237,231,66,253,512,494,259,428,94,334,310,844,552,3
13,Schalke 04,35,34.0,542,329,240,246,56,253,551,459,298,397,110,287,306,848,723,12
14,Stuttgart,30,34.0,528,316,255,207,66,268,524,511,256,421,113,308,308,836,666,10
15,Union Berlin,28,34.0,494,278,217,216,61,239,525,455,286,356,101,255,262,756,704,6
16,Werder Bremen,25,34.0,595,349,269,273,53,300,617,486,317,371,103,268,321,916,789,7
17,Wolfsburg,28,34.0,543,324,255,206,82,265,521,509,256,443,116,327,292,835,701,9
