,Squad,# Pl,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%
0,Augsburg,2,63,1.8,201,138,69.2,9,7,18,6,17.6
1,Bayern Munich,3,38,1.1,107,68,72.9,21,8,5,11,32.4
2,Bochum,1,72,2.1,200,128,68.0,10,5,19,5,14.7
3,Dortmund,2,44,1.3,151,108,71.5,22,5,7,12,35.3
4,Eint Frankfurt,2,52,1.5,135,84,63.0,13,11,10,6,17.6
5,Freiburg,1,44,1.3,150,106,74.0,17,8,9,13,38.2
6,Gladbach,4,55,1.6,180,126,72.8,11,10,13,9,26.5
7,Hertha BSC,2,69,2.0,170,100,62.4,7,8,19,3,8.8
8,Hoffenheim,1,57,1.7,161,105,65.8,10,6,18,5,14.7
9,Köln,1,54,1.6,129,77,61.2,10,12,12,6,17.6
10,Leverkusen,2,49,1.4,146,99,71.2,14,8,12,9,26.5
11,Mainz 05,2,55,1.6,153,95,66.7,12,10,12,7,20.6
12,RB Leipzig,3,41,1.2,106,66,67.9,20,6,8,10,29.4
13,Schalke 04,2,71,2.1,193,123,65.8,7,10,17,7,20.6
14,Stuttgart,2,57,1.7,146,90,65.1,7,12,15,2,5.9
15,Union Berlin,2,38,1.1,144,106,78.5,18,8,8,13,38.2
16,Werder Bremen,2,64,1.9,184,121,66.3,10,6,18,4,11.8
17,Wolfsburg,1,48,1.4,147,101,70.1,13,10,11,12,35.3
