,Squad,# Pl,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%
0,América (MG),3,40,1.05,176,135,78.4,15,8,15,11,28.9
1,Ath Paranaense,2,48,1.26,170,122,73.5,16,10,12,13,34.2
2,Atl Goianiense,4,57,1.5,194,139,72.2,8,12,18,4,10.5
3,Atlético Mineiro,2,37,0.97,121,83,74.4,15,13,10,16,42.1
4,Avaí,3,60,1.58,173,113,69.9,9,8,21,6,15.8
5,Botafogo (RJ),4,43,1.13,145,102,73.1,15,8,15,11,28.9
6,Ceará,3,41,1.08,166,123,78.3,7,16,15,8,21.1
7,Corinthians,3,36,0.95,157,122,80.9,18,11,9,14,36.8
8,Coritiba,3,60,1.58,189,128,70.4,12,6,20,9,23.7
9,Cuiabá,2,42,1.11,174,132,78.2,10,11,17,9,23.7
10,Flamengo,3,39,1.03,140,102,75.7,18,8,12,11,28.9
11,Fluminense,1,41,1.08,151,111,74.8,21,7,10,14,36.8
12,Fortaleza,3,39,1.03,167,130,79.0,15,10,13,15,39.5
13,Goiás,1,53,1.39,200,146,77.0,11,13,14,8,21.1
14,Internacional,2,31,0.82,148,117,81.8,20,13,5,18,47.4
15,Juventude,3,69,1.82,199,130,68.3,3,13,22,4,10.5
16,Palmeiras,3,27,0.71,124,99,80.6,23,12,3,19,50.0
17,Red Bull Bragantino,2,59,1.55,170,112,70.6,11,11,16,7,18.4
18,Santos,2,41,1.08,173,133,79.8,12,11,15,11,28.9
19,São Paulo,3,42,1.11,156,112,76.9,13,15,10,9,23.7
