,Squad,# Pl,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%
0,Almería,3,65,1.7,203,138,70.0,11,8,19,4,10.5
1,Athletic Club,2,43,1.1,123,83,67.5,14,9,15,11,28.9
2,Atlético Madrid,3,33,0.9,128,95,77.3,23,8,7,13,34.2
3,Barcelona,2,20,0.5,102,85,83.3,28,4,6,26,68.4
4,Betis,2,41,1.1,146,106,74.0,17,9,12,13,34.2
5,Cádiz,2,53,1.4,202,148,78.2,10,12,16,13,34.2
6,Celta Vigo,2,53,1.4,134,80,64.2,11,10,17,10,26.3
7,Elche,2,67,1.8,208,140,71.2,5,10,23,4,10.5
8,Espanyol,4,69,1.8,183,115,65.0,8,13,17,6,15.8
9,Getafe,1,45,1.2,166,119,75.3,10,12,16,13,34.2
10,Girona,2,55,1.4,168,112,70.8,13,10,15,4,10.5
11,Mallorca,3,43,1.1,145,101,74.5,14,8,16,13,34.2
12,Osasuna,2,42,1.1,148,107,72.3,15,8,15,11,28.9
13,Rayo Vallecano,2,53,1.4,144,95,66.0,13,10,15,9,23.7
14,Real Madrid,2,36,1.0,136,100,76.5,24,6,8,13,34.2
15,Real Sociedad,1,35,0.9,133,99,74.4,21,8,9,15,39.5
16,Sevilla,2,54,1.4,161,109,67.7,13,10,15,9,23.7
17,Valencia,1,45,1.2,148,105,70.9,11,9,18,7,18.4
18,Valladolid,3,63,1.7,199,134,71.4,11,7,20,9,23.7
19,Villarreal,3,40,1.0,149,110,75.8,19,7,12,12,31.6
