,Equipe,# J,90s,GC,GPC,TD,GC.1,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Tent. de passes (Gol.),Pas,Lançamentos%,CompMéd,Att,Lançamentos%,CompMéd,Oponente,Stp,Stp%,#OPA,#OPA/90,DistMéd
0,Almería,3,38.0,65,4,1,5,1,634,29,-6,-1,204,572,357,990,220,392,402,356,517,426,642,40,62,28,74,145
1,Athletic Club,2,38.0,43,3,1,1,3,372,29,-28,-7,171,452,378,925,187,309,332,264,629,483,451,29,64,50,132,175
2,Atlético Madrid,3,38.0,33,4,1,5,0,363,26,33,9,166,525,316,812,165,398,341,334,605,463,575,48,83,26,68,92
3,Barcelona,2,38.0,20,3,0,2,3,251,22,81,21,169,338,500,1216,190,223,289,223,300,325,375,18,48,43,113,164
4,Betis,2,38.0,41,3,1,7,1,440,29,40,10,229,635,361,956,149,440,396,315,679,491,582,22,38,43,113,121
5,Cádiz,2,38.0,53,9,1,7,0,534,22,4,1,270,829,326,916,150,591,464,322,894,642,651,44,68,30,79,136
6,Celta Vigo,2,38.0,53,5,1,10,1,429,27,-91,-24,184,506,364,934,171,375,353,289,540,439,509,22,43,39,103,181
7,Elche,2,38.0,67,7,0,6,2,719,31,69,18,195,442,441,819,175,338,349,318,519,409,600,22,37,21,55,140
8,Espanyol,4,38.0,69,5,1,9,2,545,27,-125,-33,305,659,463,865,122,497,362,347,660,480,557,27,48,46,121,138
9,Getafe,1,38.0,45,4,0,7,2,455,23,25,7,409,904,452,782,99,751,498,347,914,598,586,36,61,46,121,150
10,Girona,2,38.0,55,6,2,5,0,620,33,70,18,169,464,364,1075,192,284,324,329,483,419,597,43,72,59,155,151
11,Mallorca,3,38.0,43,6,0,3,0,415,24,-15,-4,351,841,417,950,130,619,549,338,749,540,657,35,53,21,55,40
12,Osasuna,2,38.0,42,1,1,3,2,391,26,-9,-2,342,789,433,1084,145,534,411,315,667,508,534,30,56,57,150,163
13,Rayo Vallecano,2,38.0,53,4,0,11,4,459,30,-31,-8,154,545,283,834,204,445,386,310,561,465,512,24,47,54,142,161
14,Real Madrid,2,38.0,36,4,0,2,1,342,22,-8,-2,97,241,402,1108,230,177,233,253,178,250,420,33,79,51,134,217
15,Real Sociedad,1,38.0,35,1,1,3,2,328,24,-2,0,244,572,427,1062,138,409,359,244,566,462,453,18,40,47,124,159
16,Sevilla,2,38.0,54,2,1,5,3,495,30,-15,-4,218,629,347,1143,136,380,440,307,635,493,524,32,61,49,129,122
17,Valencia,1,38.0,45,2,0,7,2,429,28,-1,0,177,522,339,806,142,427,351,276,645,481,457,35,77,47,124,163
18,Valladolid,3,38.0,63,6,1,0,1,626,28,6,2,192,553,347,963,170,383,358,358,514,419,563,20,36,33,87,161
19,Villarreal,3,38.0,40,4,0,4,1,437,27,47,12,114,330,345,1159,191,217,288,293,266,291,548,37,68,45,118,155
